ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
310,1/1/2014,1/8/2014,21768,1,6,SO43697,1,2,"1,789.14","2,171.29","3,578.27",286.26
346,1/1/2014,1/8/2014,28389,1,7,SO43698,1,2,"1,700.00","1,912.15","3,399.99",272
346,1/1/2014,1/8/2014,25863,1,1,SO43699,1,2,"1,700.00","1,912.15","3,399.99",272
336,1/1/2014,1/8/2014,14501,1,4,SO43700,1,2,349.55,413.15,699.1,55.93
346,1/1/2014,1/8/2014,11003,1,9,SO43701,1,2,"1,700.00","1,912.15","3,399.99",272
311,1/2/2014,1/9/2014,27645,1,4,SO43702,1,4,894.57,"2,171.29","3,578.27",286.26
310,1/2/2014,1/9/2014,16624,1,9,SO43703,1,4,894.57,"2,171.29","3,578.27",286.26
351,1/2/2014,1/9/2014,11005,1,9,SO43704,1,4,843.75,"1,898.09","3,374.99",270
344,1/2/2014,1/9/2014,11011,1,9,SO43705,1,4,850,"1,912.15","3,399.99",272
312,1/3/2014,1/10/2014,27621,1,4,SO43706,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/3/2014,1/10/2014,27616,1,4,SO43707,1,1,"3,578.27","2,171.29","3,578.27",286.26
330,1/3/2014,1/10/2014,20042,1,10,SO43708,1,1,699.1,413.15,699.1,55.93
313,1/3/2014,1/10/2014,16351,1,9,SO43709,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/3/2014,1/10/2014,16517,1,9,SO43710,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/4/2014,1/11/2014,27606,1,1,SO43711,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/4/2014,1/11/2014,13513,1,8,SO43712,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/5/2014,1/12/2014,27601,1,4,SO43713,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/5/2014,1/12/2014,13591,1,10,SO43714,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/5/2014,1/12/2014,16483,1,9,SO43715,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/5/2014,1/12/2014,16529,1,9,SO43716,1,1,"3,578.27","2,171.29","3,578.27",286.26
336,1/5/2014,1/12/2014,25249,1,9,SO43717,1,1,699.1,413.15,699.1,55.93
311,1/6/2014,1/13/2014,27668,1,1,SO43718,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/6/2014,1/13/2014,27612,1,4,SO43719,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/6/2014,1/13/2014,13264,1,8,SO43720,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/6/2014,1/13/2014,13590,1,10,SO43721,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/7/2014,1/14/2014,13581,1,10,SO43722,1,1,"3,578.27","2,171.29","3,578.27",286.26
332,1/7/2014,1/14/2014,14520,1,1,SO43723,1,1,699.1,413.15,699.1,55.93
311,1/7/2014,1/14/2014,16520,1,9,SO43724,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/8/2014,1/15/2014,13258,1,8,SO43725,1,2,"1,789.14","2,171.29","3,578.27",286.26
332,1/8/2014,1/15/2014,14560,1,4,SO43726,1,2,349.55,413.15,699.1,55.93
311,1/8/2014,1/15/2014,16607,1,9,SO43727,1,2,"1,789.14","2,171.29","3,578.27",286.26
313,1/9/2014,1/16/2014,27666,1,4,SO43728,1,4,894.57,"2,171.29","3,578.27",286.26
346,1/9/2014,1/16/2014,11238,1,10,SO43729,1,4,850,"1,912.15","3,399.99",272
346,1/9/2014,1/16/2014,25861,1,4,SO43730,1,4,850,"1,912.15","3,399.99",272
314,1/9/2014,1/16/2014,16629,1,9,SO43731,1,4,894.57,"2,171.29","3,578.27",286.26
350,1/9/2014,1/16/2014,11025,1,9,SO43732,1,4,843.75,"1,898.09","3,374.99",270
312,1/9/2014,1/16/2014,27577,1,1,SO43733,1,4,894.57,"2,171.29","3,578.27",286.26
312,1/10/2014,1/17/2014,27604,1,1,SO43734,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/10/2014,1/17/2014,16522,1,9,SO43735,1,1,"3,578.27","2,171.29","3,578.27",286.26
346,1/10/2014,1/17/2014,11002,1,9,SO43736,1,1,"3,399.99","1,912.15","3,399.99",272
311,1/11/2014,1/18/2014,13261,1,8,SO43737,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/11/2014,1/18/2014,11606,1,7,SO43738,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/11/2014,1/18/2014,13563,1,10,SO43739,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/11/2014,1/18/2014,16527,1,9,SO43740,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/12/2014,1/19/2014,27671,1,1,SO43741,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/12/2014,1/19/2014,13576,1,10,SO43742,1,1,"3,578.27","2,171.29","3,578.27",286.26
347,1/12/2014,1/19/2014,11007,1,9,SO43743,1,1,"3,399.99","1,912.15","3,399.99",272
313,1/12/2014,1/19/2014,16631,1,9,SO43744,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/13/2014,1/20/2014,16514,1,9,SO43745,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/13/2014,1/20/2014,16616,1,9,SO43746,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/14/2014,1/21/2014,27623,1,4,SO43747,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,1/14/2014,1/21/2014,27625,1,1,SO43748,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/14/2014,1/21/2014,27636,1,1,SO43749,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/14/2014,1/21/2014,11591,1,7,SO43750,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,1/14/2014,1/21/2014,11592,1,7,SO43751,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/14/2014,1/21/2014,13265,1,8,SO43752,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/14/2014,1/21/2014,16482,1,9,SO43753,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/15/2014,1/22/2014,27617,1,1,SO43754,1,2,"1,789.14","2,171.29","3,578.27",286.26
311,1/15/2014,1/22/2014,27670,1,4,SO43755,1,2,"1,789.14","2,171.29","3,578.27",286.26
332,1/15/2014,1/22/2014,19941,1,10,SO43756,1,2,349.55,413.15,699.1,55.93
350,1/15/2014,1/22/2014,11017,1,9,SO43757,1,2,"1,687.50","1,898.09","3,374.99",270
310,1/16/2014,1/23/2014,27646,1,4,SO43758,1,4,894.57,"2,171.29","3,578.27",286.26
310,1/16/2014,1/23/2014,13257,1,8,SO43759,1,4,894.57,"2,171.29","3,578.27",286.26
314,1/16/2014,1/23/2014,16352,1,9,SO43760,1,4,894.57,"2,171.29","3,578.27",286.26
310,1/16/2014,1/23/2014,16493,1,9,SO43761,1,4,894.57,"2,171.29","3,578.27",286.26
314,1/17/2014,1/24/2014,27578,1,4,SO43762,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,1/17/2014,1/24/2014,16525,1,9,SO43763,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/17/2014,1/24/2014,16612,1,9,SO43764,1,1,"3,578.27","2,171.29","3,578.27",286.26
346,1/17/2014,1/24/2014,11010,1,9,SO43765,1,1,"3,399.99","1,912.15","3,399.99",272
313,1/18/2014,1/25/2014,16518,1,9,SO43766,1,1,"3,578.27","2,171.29","3,578.27",286.26
350,1/18/2014,1/25/2014,11001,1,9,SO43767,1,1,"3,374.99","1,898.09","3,374.99",270
312,1/19/2014,1/26/2014,27649,1,1,SO43768,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/19/2014,1/26/2014,21659,1,6,SO43769,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/19/2014,1/26/2014,27614,1,1,SO43770,1,1,"3,578.27","2,171.29","3,578.27",286.26
330,1/19/2014,1/26/2014,14559,1,4,SO43771,1,1,699.1,413.15,699.1,55.93
312,1/19/2014,1/26/2014,16524,1,9,SO43772,1,1,"3,578.27","2,171.29","3,578.27",286.26
314,1/19/2014,1/26/2014,16526,1,9,SO43773,1,1,"3,578.27","2,171.29","3,578.27",286.26
313,1/19/2014,1/26/2014,16348,1,9,SO43774,1,1,"3,578.27","2,171.29","3,578.27",286.26
347,1/19/2014,1/26/2014,11027,1,9,SO43775,1,1,"3,399.99","1,912.15","3,399.99",272
314,1/20/2014,1/27/2014,13260,1,8,SO43776,1,1,"3,578.27","2,171.29","3,578.27",286.26
311,1/20/2014,1/27/2014,16515,1,9,SO43777,1,1,"3,578.27","2,171.29","3,578.27",286.26
345,1/20/2014,1/27/2014,11018,1,9,SO43778,1,1,"3,399.99","1,912.15","3,399.99",272
326,1/20/2014,1/27/2014,25252,1,9,SO43779,1,1,699.1,413.15,699.1,55.93
311,1/21/2014,1/28/2014,11599,1,7,SO43780,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/21/2014,1/28/2014,16495,1,9,SO43781,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/21/2014,1/28/2014,16516,1,9,SO43782,1,1,"3,578.27","2,171.29","3,578.27",286.26
312,1/21/2014,1/28/2014,16620,1,9,SO43783,1,1,"3,578.27","2,171.29","3,578.27",286.26
310,1/22/2014,1/29/2014,27667,1,4,SO43784,1,2,"1,789.14","2,171.29","3,578.27",286.26
311,1/22/2014,1/29/2014,11601,1,7,SO43785,1,2,"1,789.14","2,171.29","3,578.27",286.26
311,1/22/2014,1/29/2014,11607,1,7,SO43786,1,2,"1,789.14","2,171.29","3,578.27",286.26
344,1/22/2014,1/29/2014,29385,1,8,SO43787,1,2,"1,700.00","1,912.15","3,399.99",272
351,1/22/2014,1/29/2014,11239,1,10,SO43788,1,2,"1,687.50","1,898.09","3,374.99",270
351,1/22/2014,1/29/2014,25865,1,1,SO43789,1,2,"1,687.50","1,898.09","3,374.99",270
344,1/22/2014,1/29/2014,25857,1,1,SO43790,1,2,"1,700.00","1,912.15","3,399.99",272
314,1/22/2014,1/29/2014,16484,1,9,SO43791,1,2,"1,789.14","2,171.29","3,578.27",286.26
312,1/22/2014,1/29/2014,16623,1,9,SO43792,1,2,"1,789.14","2,171.29","3,578.27",286.26
344,1/22/2014,1/29/2014,11000,1,9,SO43793,1,2,"1,700.00","1,912.15","3,399.99",272
347,1/22/2014,1/29/2014,11029,1,9,SO43794,1,2,"1,700.00","1,912.15","3,399.99",272
312,1/23/2014,1/30/2014,27615,1,4,SO43795,1,4,894.57,"2,171.29","3,578.27",286.26
342,1/23/2014,1/30/2014,17956,1,7,SO43796,1,4,174.77,413.15,699.1,55.93
312,1/23/2014,1/30/2014,16345,1,9,SO43797,1,4,894.57,"2,171.29","3,578.27",286.26
310,1/23/2014,1/30/2014,16521,1,9,SO43798,1,4,894.57,"2,171.29","3,578.27",286.26
312,1/23/2014,1/30/2014,16636,1,9,SO43799,1,4,894.57,"2,171.29","3,578.27",286.26
